gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Police Officer,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,Hispanic,Police Officer,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,White,Police Officer as Detective,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,Hispanic,Police Officer,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,Asian/Pacific,Lieutenant of Police,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,100000.00
M,Black,Lieutenant of Police,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
F,White,Police Officer,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
M,Asian/Pacific,Sergeant of Police,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
M,Black,Police Officer as Detective,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
F,White,Police Officer,{Traffic stop},{Drug charges},"{Illegal search/seizure,False arrest or report}","",Illegal search/seizure,40000.00
M,Hispanic,Police Officer,{Traffic stop},{Drug charges},"{Illegal search/seizure,False arrest or report}","",Illegal search/seizure,40000.00
M,White,Police Officer,"{Lock-up,Traffic stop}",{Other charges filed},"{Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,25000.00
M,Asian/Pacific,Police Officer,"{Lock-up,Traffic stop}",{Other charges filed},"{Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,25000.00
M,Black,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
M,White,Captain of Police,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
M,White,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
F,White,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
M,White,Lieutenant of Police,"","{Hospitalized,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},Excessive force/serious,200000.00
M,White,Sergeant of Police,{Traffic stop},{Other charges filed},{False arrest or report},"",Dui stop,25000.00
M,White,Police Officer,{Traffic stop},{Other charges filed},{False arrest or report},"",Dui stop,25000.00
M,Black,Police Officer,{Traffic stop},{Other charges filed},"{Destroy/conceal/fabricate evidence,False arrest or report}","",Malicious prosecution,40000.00
M,Asian/Pacific,Sergeant of Police,{Traffic stop},{Other charges filed},"{Destroy/conceal/fabricate evidence,False arrest or report}","",Malicious prosecution,40000.00
M,Black,Police Officer,{Traffic stop},{Other charges filed},"{Destroy/conceal/fabricate evidence,False arrest or report}","",Malicious prosecution,40000.00
M,White,Police Officer,"","{Resisting or obstructing arrest charges,Weapons charges,Assault or battery to an officer charges}","{Threats/intimidation,Excessive force,False arrest or report}","{Nightstick,Physical force}",Excessive force/minor,80002.00
M,White,Sergeant of Police,"","{Resisting or obstructing arrest charges,Weapons charges,Assault or battery to an officer charges}","{Threats/intimidation,Excessive force,False arrest or report}","{Nightstick,Physical force}",Excessive force/minor,80002.00
M,Hispanic,Police Officer,"","{Resisting or obstructing arrest charges,Weapons charges,Assault or battery to an officer charges}","{Threats/intimidation,Excessive force,False arrest or report}","{Nightstick,Physical force}",Excessive force/minor,80002.00
M,Hispanic,Sergeant of Police,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Hispanic,Police Officer / Field Training Officer,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Asian/Pacific,Police Officer,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,White,Police Officer as Detective,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Hispanic,Police Officer,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Asian/Pacific,Police Officer as Detective,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Hispanic,Sergeant of Police,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,Hispanic,Police Officer,{Home invasion},"","{Excessive force,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,32000.00
M,White,Lieutenant of Police,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,White,Sergeant of Police,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,White,Police Officer,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,White,Police Officer as Detective,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,White,Police Officer as Detective,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,White,Police Officer,{Home invasion},"",{Excessive force},{Physical force},Excessive force/minor,20000.00
M,Hispanic,Police Officer,{Traffic stop},"{Assault or battery to an officer charges,Other charges filed,Resisting or obstructing arrest charges}","{Pattern/practice of misconduct,Threats/intimidation,False arrest or report}","{Physical force,Nightstick}",Excessive force/minor,73500.00
M,White,Police Officer,{Traffic stop},"","{Excessive force,Stolen property,Destroy/conceal/fabricate evidence}","{Physical force,Taser}",Excessive force/serious,100000.00
M,White,Police Officer,{Traffic stop},"","{Excessive force,Stolen property,Destroy/conceal/fabricate evidence}","{Physical force,Taser}",Excessive force/serious,100000.00
M,White,Sergeant of Police,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
F,Black,Lieutenant of Police,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Black,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Lieutenant of Police,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Lieutenant of Police,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Police Officer as Detective,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Black,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Deputy Chief,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Sergeant of Police,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Black,Police Forensic Investigator I,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
F,Black,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,White,Police Officer as Detective,"","{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Destroy/conceal/fabricate evidence,Stolen property,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,350000.00
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Threats/intimidation,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,30003.00
M,Black,Police Officer,{Home invasion},"","{Damage to property,Threats/intimidation,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,30003.00
M,Hispanic,Sergeant of Police,{Home invasion},"","{Damage to property,Threats/intimidation,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,30003.00
F,Hispanic,Police Officer,{Traffic stop},"","{Excessive force,False arrest or report}",{Gun},False arrest,14000.00
M,Black,Police Officer,{Traffic stop},"","{Excessive force,False arrest or report}",{Gun},False arrest,14000.00
M,Black,Police Officer,{Traffic stop},"","{Excessive force,False arrest or report}",{Gun},False arrest,14000.00
M,Black,Police Officer,"","",{Excessive force},{Physical force},Excessive force/minor,120000.00
M,White,Police Officer,"",{Killed by officer},"{Destroy/conceal/fabricate evidence,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,3000000.00
M,White,Police Officer,"",{Killed by officer},"{Destroy/conceal/fabricate evidence,Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,3000000.00
M,White,Police Officer,"","","{Destroy/conceal/fabricate evidence,Excessive force}","{Gun,Physical force}",Excessive force/minor,13500.00
M,Asian/Pacific,Police Officer,"","","{Destroy/conceal/fabricate evidence,Excessive force}","{Gun,Physical force}",Excessive force/minor,13500.00
M,White,Police Officer,"","","{Destroy/conceal/fabricate evidence,Excessive force}","{Gun,Physical force}",Excessive force/minor,13500.00
M,Hispanic,Sergeant of Police,"","","{Destroy/conceal/fabricate evidence,Excessive force}","{Gun,Physical force}",Excessive force/minor,13500.00
M,White,Police Officer,"{Home invasion,Traffic stop}","{Weapons charges,Drug charges}","{Damage to property,Destroy/conceal/fabricate evidence,Stolen property,False arrest or report}","",False arrest,100000.00
M,Hispanic,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}","{Pepper spray,Physical force}",False arrest,38000.00
M,White,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}","{Pepper spray,Physical force}",False arrest,38000.00
M,White,Police Officer,{Stop and frisk},{Resisting or obstructing arrest charges},"{Destroy/conceal/fabricate evidence,Racial epithets,Threats/intimidation,False arrest or report}","",False arrest,40002.00
M,Hispanic,Police Officer,{Stop and frisk},"{Extended detention,Assault or battery to an officer charges,Resisting or obstructing arrest charges}",{Excessive force},"{Physical force,Gun}",Extended detention,60000.00
M,Hispanic,Lieutenant of Police,{Stop and frisk},"{Extended detention,Assault or battery to an officer charges,Resisting or obstructing arrest charges}",{Excessive force},"{Physical force,Gun}",Extended detention,60000.00
M,White,Police Officer,{Traffic stop},{Drug charges},{False arrest or report},"",False arrest,45000.00
M,White,Police Officer,"",{Weapons charges},{False arrest or report},"",False arrest,35000.00
M,White,Police Officer,"",{Weapons charges},{False arrest or report},"",False arrest,35000.00
M,Black,Police Officer as Detective,"","{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}",{Physical force},Excessive force,1000.00
M,Hispanic,Police Officer,"","{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}",{Physical force},Excessive force,1000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,48750.00
M,White,Police Officer,"","{Other charges filed,Weapons charges,Extended detention}",{False arrest or report},"",False arrest,30000.00
F,Black,Police Officer,"","{Other charges filed,Weapons charges,Extended detention}",{False arrest or report},"",False arrest,30000.00
M,White,Police Officer,"","{Other charges filed,Weapons charges,Extended detention}",{False arrest or report},"",False arrest,30000.00
M,Black,Police Officer,"","{Other charges filed,Weapons charges,Extended detention}",{False arrest or report},"",False arrest,30000.00
M,White,Sergeant of Police,"","{Other charges filed,Weapons charges,Extended detention}",{False arrest or report},"",False arrest,30000.00
M,White,Police Officer,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Police Officer,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Sergeant of Police,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Sergeant of Police,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Sergeant of Police,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Police Officer,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,White,Police Officer,"",{Hospitalized},"{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,8273.00
M,Hispanic,Police Officer,"","",{Excessive force},{Taser},Excessive force/minor,50000.00
M,White,Police Officer / Field Training Officer,"","",{Excessive force},{Taser},Excessive force/minor,50000.00
M,Hispanic,Police Officer,"","",{Excessive force},{Taser},Excessive force/minor,50000.00
M,White,Police Officer,"","",{Excessive force},{Taser},Excessive force/minor,50000.00
M,Hispanic,Police Officer,"","",{Excessive force},{Taser},Excessive force/minor,50000.00
F,White,Police Officer as Detective,{Stop and frisk},{Hospitalized},"{Legal access denied,Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,75000.00
M,White,Police Officer as Detective,{Stop and frisk},{Hospitalized},"{Legal access denied,Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,75000.00
M,Black,Police Officer,"","{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}","{Gun,Physical force}",False arrest,16250.00
M,Black,Police Officer,"","{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}","{Gun,Physical force}",False arrest,16250.00
M,Hispanic,Police Officer,"","{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}","{Gun,Physical force}",False arrest,16250.00
M,Black,Police Officer,"","","{Threats/intimidation,False arrest or report,Excessive force,Pattern/practice of misconduct}",{Physical force},Excessive force/minor,175000.00
M,Black,Police Officer,"","","{Threats/intimidation,False arrest or report,Excessive force,Pattern/practice of misconduct}",{Physical force},Excessive force/minor,175000.00
M,White,Superintendent of Police,"","","","",Other police misconduct,26000.00
M,Hispanic,Police Officer,{Stop and frisk},{Extended detention},"{Illegal search/seizure,Racial epithets}","",Extended detention,6000.00
M,White,Lieutenant of Police,{Stop and frisk},{Extended detention},"{Illegal search/seizure,Racial epithets}","",Extended detention,6000.00
M,White,Police Officer,{Stop and frisk},{Extended detention},"{Illegal search/seizure,Racial epithets}","",Extended detention,6000.00
M,White,Police Officer,{Stop and frisk},{Extended detention},"{Illegal search/seizure,Racial epithets}","",Extended detention,6000.00
M,White,Police Officer,{Stop and frisk},{Extended detention},"{Illegal search/seizure,Racial epithets}","",Extended detention,6000.00
F,Hispanic,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,White,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,White,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,White,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,Hispanic,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,Asian/Pacific,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,White,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,White,Sergeant of Police,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,Black,Police Officer,"","{Died out of custody,Hospitalized}",{Excessive force},"{Taser,Pepper spray,Hog-tied,Physical force}",Excessive force/serious,99000.00
M,Black,Police Officer,"","","{Sexual harassment/abuse,Illegal search/seizure}","",Illegal search/seizure,400000.00
M,Black,Police Officer,"","","{Sexual harassment/abuse,Illegal search/seizure}","",Illegal search/seizure,400000.00
M,Hispanic,Police Officer,"","","{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,"","","{Threats/intimidation,Excessive force}",{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,{Stop and frisk},{Drug charges},"{Strip search,False arrest or report}","",False arrest,42500.00
M,White,Sergeant of Police,{Stop and frisk},{Drug charges},"{Strip search,False arrest or report}","",False arrest,42500.00
M,Black,Police Officer,{Stop and frisk},"","{Excessive force,False arrest or report}",{Physical force},False arrest,2000.00
M,Black,Police Officer / Field Training Officer,{Stop and frisk},"","{Excessive force,False arrest or report}",{Physical force},False arrest,2000.00
M,White,Police Officer / Explosives Detective Canine Handler,{Home invasion},{Resisting or obstructing arrest charges},"{Damage to property,Excessive force,Shooting}",{Gun},Excessive force/serious,21000.00
M,Black,Police Officer,"",{Drug charges},{False arrest or report},"",False arrest,12000.00
M,Hispanic,Sergeant of Police,"",{Drug charges},{False arrest or report},"",False arrest,12000.00
M,White,Sergeant of Police,"",{Drug charges},{False arrest or report},"",False arrest,12000.00
M,Hispanic,Police Officer,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Police Officer,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Police Officer,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Police Officer as Detective,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Sergeant of Police,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Police Officer as Detective,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,White,Police Officer,{Home invasion},"{Hospitalized,Weapons charges}","{Damage to property,Stolen property,Threats/intimidation,Excessive force,Illegal search/seizure,False arrest or report}","{Gun,Physical force}",Illegal search/seizure,100000.00
M,Hispanic,Police Officer,{Lock-up},"{Hospitalized,Other charges filed}","{Excessive force,Threats/intimidation,False arrest or report}",{Physical force},False arrest,3000.00
M,White,Police Officer,{Traffic stop},{Hospitalized},{Failure to provide medical care},"",Failure to provide medical care,1000.00
M,Hispanic,Sergeant of Police,{Traffic stop},{Hospitalized},{Failure to provide medical care},"",Failure to provide medical care,1000.00
M,White,Police Officer,{Traffic stop},{Hospitalized},{Failure to provide medical care},"",Failure to provide medical care,1000.00
M,White,Police Officer as Detective,{Traffic stop},{Hospitalized},{Failure to provide medical care},"",Failure to provide medical care,1000.00
M,Black,Police Officer,{Stop and frisk},{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},Excessive force/serious,5000.00
M,Black,Police Officer,{Stop and frisk},{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},Excessive force/serious,5000.00
M,Hispanic,Police Officer,"","","{False arrest or report,Excessive force}",{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,"","","{False arrest or report,Excessive force}",{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Sergeant of Police,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
F,White,Sergeant of Police,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
F,Black,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Black,Police Officer as Detective,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,Hispanic,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
F,White,Sergeant of Police,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,{Lock-up},{Extended detention},{Failure to provide medical care},{Physical force},Excessive force/minor,30000.00
M,White,Police Officer,"",{Hospitalized},"{Excessive force,False arrest or report}",{Physical force},Excessive force/serious,5750.00
M,Hispanic,Police Officer,"",{Hospitalized},"{Excessive force,False arrest or report}",{Physical force},Excessive force/serious,5750.00
M,White,Police Officer,{Traffic stop},"",{Excessive force},{Physical force},Excessive force/minor,98500.00
M,Hispanic,Sergeant of Police,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}",{Excessive force},{Physical force},Excessive force/serious,55000.00
M,White,Sergeant of Police,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}",{Excessive force},{Physical force},Excessive force/serious,55000.00
M,Black,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges}","{Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,20001.00
M,White,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges}","{Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,20001.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search & seizure,25001.00
M,White,Police Officer as Detective,{Home invasion},{Other charges filed},"{Excessive force,False arrest or report}","{Nightstick,Physical force}",False arrest,5000.00
M,White,Police Officer,{Home invasion},{Other charges filed},"{Excessive force,False arrest or report}","{Nightstick,Physical force}",False arrest,5000.00
M,Hispanic,Police Officer,{Home invasion},{Other charges filed},"{Excessive force,False arrest or report}","{Nightstick,Physical force}",False arrest,5000.00
M,White,Sergeant of Police,{Home invasion},{Other charges filed},"{Excessive force,False arrest or report}","{Nightstick,Physical force}",False arrest,5000.00
M,White,Police Officer,{Home invasion},"{Extended detention,Other charges filed}","{Witness manipulation,False arrest or report}","",Extended detention,9500.00
M,White,Police Officer as Detective,{Home invasion},"{Extended detention,Other charges filed}","{Witness manipulation,False arrest or report}","",Extended detention,9500.00
M,White,Police Officer as Detective,{Home invasion},"{Extended detention,Other charges filed}","{Witness manipulation,False arrest or report}","",Extended detention,9500.00
M,White,Police Officer as Detective,{Home invasion},"{Extended detention,Other charges filed}","{Witness manipulation,False arrest or report}","",Extended detention,9500.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Physical force},Malicious prosecution,95000.00
F,White,Sergeant of Police,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Physical force},Malicious prosecution,95000.00
M,White,Police Officer,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Physical force},Malicious prosecution,95000.00
M,White,Sergeant,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Physical force},Malicious prosecution,95000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Physical force},Malicious prosecution,95000.00
